Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_dcdc_converter_adapter\Project Outputs for uz_per_dcdc_conv_adapter\Rev01\Pick Place\Pick_and_Place_uz_per_dcdc_conv_adapter_Default_Rev01.csv

========================================================================================================================
File Design Information:

Date:       14.01.26
Time:       22:18
Revision:   4d611b9390a9ed522f2fe93f9b4b47b3fb3bda43
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X4","1725656","148.2102","146.3802","78.8162","78.8162","145.1102","77.5462","90","1725656","TopLayer"
"X2","61201421621","31.4826","31.4826","96.3700","96.3700","23.8626","95.1000","0","61201421621","TopLayer"
"X3","61201421621","31.4556","31.4556","78.0846","78.0846","23.8356","76.8146","0","61201421621","TopLayer"
"J4D","691210910004","60.0000","60.0000","92.0000","92.0000","56.1900","92.0000","0","691210910004","TopLayer"
"J4C","691210910004","77.0000","77.0000","92.0000","92.0000","73.1900","92.0000","0","691210910004","TopLayer"
"J4B","691210910004","94.0000","94.0000","92.0000","92.0000","90.1900","92.0000","0","691210910004","TopLayer"
"J4A","691210910004","110.9100","110.9100","91.9000","91.9000","107.1000","91.9000","0","691210910004","TopLayer"
"C4","C_0603_TE","37.4700","37.4700","86.3000","86.3000","38.2400","86.3000","270","100 nF","TopLayer"
"C2","C_0603_TE","33.2000","33.2000","86.3000","86.3000","32.4300","86.3000","90","100 nF","TopLayer"
"C7D","C_0603_TE","62.5400","62.5400","78.5000","78.5000","61.7700","78.5000","90","100 nF","TopLayer"
"C7C","C_0603_TE","79.5400","79.5400","78.5000","78.5000","78.7700","78.5000","90","100 nF","TopLayer"
"C7B","C_0603_TE","96.5400","96.5400","78.5000","78.5000","95.7700","78.5000","90","100 nF","TopLayer"
"C7A","C_0603_TE","113.4500","113.4500","78.4000","78.4000","112.6800","78.4000","90","100 nF","TopLayer"
"C10E","C_0603_TE","95.3000","95.3000","16.3000","16.3000","94.5300","16.3000","90","100 nF","TopLayer"
"C10D","C_0603_TE","84.8000","84.8000","16.1000","16.1000","84.0300","16.1000","90","100 nF","TopLayer"
"C10C","C_0603_TE","74.9000","74.9000","16.1000","16.1000","74.1300","16.1000","90","100 nF","TopLayer"
"C10B","C_0603_TE","64.9000","64.9000","15.9000","15.9000","64.1300","15.9000","90","100 nF","TopLayer"
"C10A","C_0603_TE","54.2000","54.2000","16.0000","16.0000","53.4300","16.0000","90","100 nF","TopLayer"
"C3","C_1206_TE","38.4700","38.4700","84.4000","84.4000","39.9200","84.4000","270","10 µF","TopLayer"
"C1","C_1206_TE","32.3000","32.3000","84.4000","84.4000","30.8500","84.4000","90","10 µF","TopLayer"
"C6D","C_1206_TE","62.5400","62.5400","76.1000","76.1000","61.0900","76.1000","90","10 µF","TopLayer"
"C6C","C_1206_TE","79.5400","79.5400","76.1000","76.1000","78.0900","76.1000","90","10 µF","TopLayer"
"C6B","C_1206_TE","96.5400","96.5400","76.1000","76.1000","95.0900","76.1000","90","10 µF","TopLayer"
"C6A","C_1206_TE","113.4500","113.4500","76.0000","76.0000","112.0000","76.0000","90","10 µF","TopLayer"
"J3","FCR7350","149.7033","140.0048","50.4571","50.4571","138.7248","50.4571","0","FCR7350L, PCB mount 4mm jack, BLUE","TopLayer"
